product_id,title,description,category
P1000,Gaming Mouse,Shockproof and stylish smartphone case compatible with iPhone and Android,Gaming
P1001,Smartphone Case,High-precision gaming mouse with customizable DPI settings,Fitness
P1002,Gaming Mouse,Eco-friendly and non-slip yoga mat with extra cushioning,Sportswear
P1003,Smartphone Case,Compact digital alarm clock with multiple alarm tones,Home Decor
P1004,Digital Alarm Clock,Double-walled bottle keeps drinks hot or cold for hours,Electronics
P1005,Digital Alarm Clock,Eco-friendly and non-slip yoga mat with extra cushioning,Electronics
P1006,Gaming Mouse,Modern desk lamp with adjustable brightness and LED lighting,Home Appliances
P1007,Yoga Mat,Eco-friendly and non-slip yoga mat with extra cushioning,Home Appliances
P1008,LED Desk Lamp,Comfortable and durable shoes for running and daily wear,Accessories
P1009,Digital Alarm Clock,High-quality wireless headphones with noise cancellation,Grocery
P1010,Yoga Mat,Portable Bluetooth speaker with excellent bass and battery life,Home Appliances
P1011,LED Desk Lamp,Portable Bluetooth speaker with excellent bass and battery life,Grocery
P1012,Yoga Mat,Comfortable and durable shoes for running and daily wear,Gaming
P1013,Smartphone Case,Double-walled bottle keeps drinks hot or cold for hours,Home Appliances
P1014,LED Desk Lamp,Comfortable and durable shoes for running and daily wear,Home Decor
P1015,Wireless Headphones,High-quality wireless headphones with noise cancellation,Grocery
P1016,Stainless Steel Bottle,Freshly roasted organic coffee beans for rich flavor,Grocery
P1017,Wireless Headphones,Eco-friendly and non-slip yoga mat with extra cushioning,Fitness
P1018,Stainless Steel Bottle,Comfortable and durable shoes for running and daily wear,Home Decor
P1019,LED Desk Lamp,Eco-friendly and non-slip yoga mat with extra cushioning,Home Appliances
P1020,Organic Coffee Beans,Eco-friendly and non-slip yoga mat with extra cushioning,Accessories
P1021,Stainless Steel Bottle,Eco-friendly and non-slip yoga mat with extra cushioning,Grocery
P1022,Wireless Headphones,High-quality wireless headphones with noise cancellation,Home Decor
P1023,Yoga Mat,Shockproof and stylish smartphone case compatible with iPhone and Android,Sportswear
P1024,Yoga Mat,Shockproof and stylish smartphone case compatible with iPhone and Android,Gaming
P1025,Organic Coffee Beans,Portable Bluetooth speaker with excellent bass and battery life,Home Audio
P1026,Gaming Mouse,Eco-friendly and non-slip yoga mat with extra cushioning,Gaming
P1027,Wireless Headphones,High-precision gaming mouse with customizable DPI settings,Grocery
P1028,Bluetooth Speaker,Portable Bluetooth speaker with excellent bass and battery life,Home Decor
P1029,Yoga Mat,High-quality wireless headphones with noise cancellation,Grocery
P1030,Stainless Steel Bottle,Modern desk lamp with adjustable brightness and LED lighting,Gaming
P1031,Running Shoes,High-precision gaming mouse with customizable DPI settings,Accessories
P1032,Gaming Mouse,Portable Bluetooth speaker with excellent bass and battery life,Accessories
P1033,Wireless Headphones,Modern desk lamp with adjustable brightness and LED lighting,Accessories
P1034,Yoga Mat,Portable Bluetooth speaker with excellent bass and battery life,Home Audio
P1035,Organic Coffee Beans,High-quality wireless headphones with noise cancellation,Grocery
P1036,Bluetooth Speaker,Freshly roasted organic coffee beans for rich flavor,Home Audio
P1037,Yoga Mat,High-precision gaming mouse with customizable DPI settings,Home Appliances
P1038,Running Shoes,Eco-friendly and non-slip yoga mat with extra cushioning,Accessories
P1039,Gaming Mouse,Modern desk lamp with adjustable brightness and LED lighting,Accessories
P1040,Bluetooth Speaker,Compact digital alarm clock with multiple alarm tones,Grocery
P1041,Running Shoes,Comfortable and durable shoes for running and daily wear,Gaming
P1042,Wireless Headphones,High-precision gaming mouse with customizable DPI settings,Electronics
P1043,Running Shoes,Modern desk lamp with adjustable brightness and LED lighting,Kitchen
P1044,Smartphone Case,Eco-friendly and non-slip yoga mat with extra cushioning,Home Audio
P1045,Yoga Mat,High-quality wireless headphones with noise cancellation,Electronics
P1046,Yoga Mat,Comfortable and durable shoes for running and daily wear,Accessories
P1047,Yoga Mat,High-quality wireless headphones with noise cancellation,Accessories
P1048,Bluetooth Speaker,Modern desk lamp with adjustable brightness and LED lighting,Home Audio
P1049,Gaming Mouse,Comfortable and durable shoes for running and daily wear,Fitness
P1050,Gaming Mouse,Shockproof and stylish smartphone case compatible with iPhone and Android,Home Decor
P1051,Smartphone Case,Compact digital alarm clock with multiple alarm tones,Fitness
P1052,Running Shoes,Double-walled bottle keeps drinks hot or cold for hours,Home Appliances
P1053,Digital Alarm Clock,Double-walled bottle keeps drinks hot or cold for hours,Home Decor
P1054,Digital Alarm Clock,Eco-friendly and non-slip yoga mat with extra cushioning,Home Appliances
P1055,Running Shoes,Shockproof and stylish smartphone case compatible with iPhone and Android,Home Audio
P1056,Wireless Headphones,High-precision gaming mouse with customizable DPI settings,Grocery
P1057,Digital Alarm Clock,Comfortable and durable shoes for running and daily wear,Kitchen
P1058,Organic Coffee Beans,Eco-friendly and non-slip yoga mat with extra cushioning,Sportswear
P1059,Bluetooth Speaker,Modern desk lamp with adjustable brightness and LED lighting,Electronics
P1060,Organic Coffee Beans,Portable Bluetooth speaker with excellent bass and battery life,Fitness
P1061,Running Shoes,High-precision gaming mouse with customizable DPI settings,Grocery
P1062,Bluetooth Speaker,Compact digital alarm clock with multiple alarm tones,Accessories
P1063,Wireless Headphones,High-quality wireless headphones with noise cancellation,Fitness
P1064,LED Desk Lamp,Shockproof and stylish smartphone case compatible with iPhone and Android,Electronics
P1065,Bluetooth Speaker,Eco-friendly and non-slip yoga mat with extra cushioning,Accessories
P1066,Running Shoes,Comfortable and durable shoes for running and daily wear,Kitchen
P1067,Running Shoes,Modern desk lamp with adjustable brightness and LED lighting,Accessories
P1068,LED Desk Lamp,High-precision gaming mouse with customizable DPI settings,Electronics
